Date,Closing Price,MonthlyGainOrLoss
1-Jan-17,"2,275.32",0.012770238
1-Dec-16,"2,246.63",0.037709181
1-Nov-16,"2,164.99",0.010251888
1-Oct-16,"2,143.02",-0.006798938
1-Sep-16,"2,157.69",-0.006107925
1-Aug-16,"2,170.95",0.010261064
1-Jul-16,"2,148.90",0.031196464
1-Jun-16,"2,083.89",0.008878991
1-May-16,"2,065.55",-0.004813205
1-Apr-16,"2,075.54",0.026504117
1-Mar-16,"2,021.95",0.061714328
1-Feb-16,"1,904.42",-0.007390806
1-Jan-16,"1,918.60",-0.065956535
1-Dec-15,"2,054.08",-0.012755813
1-Nov-15,"2,080.62",0.02756308
1-Oct-15,"2,024.81",0.041349304
1-Sep-15,"1,944.41",-0.0467971
1-Aug-15,"2,039.87",-0.025915173
1-Jul-15,"2,094.14",-0.00245321
1-Jun-15,"2,099.29",-0.005989753
1-May-15,"2,111.94",0.008153289
1-Apr-15,"2,094.86",0.007149073
1-Mar-15,"2,079.99",-0.001061377
1-Feb-15,"2,082.20",0.026634717
1-Jan-15,"2,028.18",-0.012700375
1-Dec-14,"2,054.27",0.004744274
1-Nov-14,"2,044.57",0.05538722
1-Oct-14,"1,937.27",-0.028075034
1-Sep-14,"1,993.23",0.016160854
1-Aug-14,"1,961.53",-0.005863869
1-Jul-14,"1,973.10",0.013358396
1-Jun-14,"1,947.09",0.030331733
1-May-14,"1,889.77",0.013683714
1-Apr-14,"1,864.26",0.000397098
1-Mar-14,"1,863.52",0.025580064
1-Feb-14,"1,817.04",-0.002919291
1-Jan-14,"1,822.36",0.008065141
1-Dec-13,"1,807.78",0.013590948
1-Nov-13,"1,783.54",0.036923775
1-Oct-13,"1,720.03",0.019476401
1-Sep-13,"1,687.17",0.010226994
1-Aug-13,"1,670.09",0.000844979
1-Jul-13,"1,668.68",0.030832051
1-Jun-13,"1,618.77",-0.012848815
1-May-13,"1,639.84",0.04401859
1-Apr-13,"1,570.70",0.012812494
1-Mar-13,"1,550.83",0.025470968
1-Feb-13,"1,512.31",0.021554985
1-Jan-13,"1,480.40",0.040856647
1-Dec-12,"1,422.29",0.019920976
1-Nov-12,"1,394.51",-0.03012199
1-Oct-12,"1,437.82",-0.003879675
1-Sep-12,"1,443.42",0.028479818
1-Aug-12,"1,403.45",0.032115489
1-Jul-12,"1,359.78",0.027427691
1-Jun-12,"1,323.48",-0.013263549
1-May-12,"1,341.27",-0.032572867
1-Apr-12,"1,386.43",-0.002022689
1-Mar-12,"1,389.24",0.027172105
1-Feb-12,"1,352.49",0.039912962
1-Jan-12,"1,300.58",0.046054113
1-Dec-11,"1,243.32",0.013779945
1-Nov-11,"1,226.42",0.015904309
1-Oct-11,"1,207.22",0.02840154
1-Sep-11,"1,173.88",-0.009643047
1-Aug-11,"1,185.31",-0.105554675
1-Jul-11,"1,325.19",0.029441695
1-Jun-11,"1,287.29",-0.038122707
1-May-11,"1,338.31",0.005106984
1-Apr-11,"1,331.51",0.020713076
1-Mar-11,"1,304.49",-0.012587804
1-Feb-11,"1,321.12",0.030016685
1-Jan-11,"1,282.62",0.03309626
1-Dec-10,"1,241.53",0.035566232
1-Nov-10,"1,198.89",0.023310401
1-Oct-10,"1,171.58",0.044114502
1-Sep-10,"1,122.08",0.032006475
1-Aug-10,"1,087.28",0.006927209
1-Jul-10,"1,079.80",-0.003286073
1-Jun-10,"1,083.36",-0.03706469
1-May-10,"1,125.06",-0.060351452
1-Apr-10,"1,197.32",0.039295169
1-Mar-10,"1,152.05",0.057741746
1-Feb-10,"1,089.16",-0.030634223
1-Jan-10,"1,123.58",0.011887822
1-Dec-09,"1,110.38",0.020504196
1-Nov-09,"1,088.07",0.019116573
1-Oct-09,"1,067.66",0.02212436
1-Sep-09,"1,044.55",0.034484466
1-Aug-09,"1,009.73",0.078978863
1-Jul-09,935.82,0.010473805
1-Jun-09,926.12,0.026274088
1-May-09,902.41,0.063974533
1-Apr-09,848.15,0.120217136
1-Mar-09,757.13,-0.059734486
1-Feb-09,805.23,-0.069722036
1-Jan-09,865.58,-0.013651488
1-Dec-08,877.56,-0.006205834
1-Nov-08,883.04,-0.088521883
1-Oct-08,968.8,-0.203911418
1-Sep-08,"1,216.95",-0.050348428
1-Aug-08,"1,281.47",0.019199415
1-Jul-08,"1,257.33",-0.0625685
1-Jun-08,"1,341.25",-0.044162711
1-May-08,"1,403.22",0.023896911
1-Apr-08,"1,370.47",0.040647258
1-Mar-08,"1,316.94",-0.027995306
1-Feb-08,"1,354.87",-0.017327164
1-Jan-08,"1,378.76",-0.067914171
1-Dec-07,"1,479.22",0.010817349
1-Nov-07,"1,463.39",-0.049536911
1-Oct-07,"1,539.66",0.028414556
1-Sep-07,"1,497.12",0.029217253
1-Aug-07,"1,454.62",-0.043459963
1-Jul-07,"1,520.71",0.004305933
1-Jun-07,"1,514.19",0.002018344
1-May-07,"1,511.14",0.032453336
1-Apr-07,"1,463.64",0.040292832
1-Mar-07,"1,406.95",-0.026197398
1-Feb-07,"1,444.80",0.014492754
1-Jan-07,"1,424.16",0.005464481
1-Dec-06,"1,416.42",0.020005185
1-Nov-06,"1,388.64",0.018527483
1-Oct-06,"1,363.38",0.034635057
1-Sep-06,"1,317.74",0.023765684
1-Aug-06,"1,287.15",0.021353076
1-Jul-06,"1,260.24",0.005641693
1-Jun-06,"1,253.17",-0.028557918
1-May-06,"1,290.01",-0.009338258
1-Apr-06,"1,302.17",0.006515992
1-Mar-06,"1,293.74",0.013386598
1-Feb-06,"1,276.65",-0.001626614
1-Jan-06,"1,278.73",0.013200536
1-Dec-05,"1,262.07",0.019961693
1-Nov-05,"1,237.37",0.038096916
1-Oct-05,"1,191.96",-0.027701644
1-Sep-05,"1,225.92",0.001347742
1-Aug-05,"1,224.27",0.001660885
1-Jul-05,"1,222.24",0.016627157
1-Jun-05,"1,202.25",0.020343212
1-May-05,"1,178.28",0.011894232
1-Apr-05,"1,164.43",-0.025500042
1-Mar-05,"1,194.90",-0.003942882
1-Feb-05,"1,199.63",0.01542225
1-Jan-05,"1,181.41",-0.014843105
1-Dec-04,"1,199.21",0.025895256
1-Nov-04,"1,168.94",0.046302844
1-Oct-04,"1,117.21",-0.000402627
1-Sep-04,"1,117.66",0.026374272
1-Aug-04,"1,088.94",-0.015291405
1-Jul-04,"1,105.85",-0.023756135
1-Jun-04,"1,132.76",0.027185839
1-May-04,"1,102.78",-0.026981718
1-Apr-04,"1,133.36",0.008345344
1-Mar-04,"1,123.98",-0.016950042
1-Feb-04,"1,143.36",0.009571575
1-Jan-04,"1,132.52",0.048008588
1-Dec-03,"1,080.64",0.029278979
1-Nov-03,"1,049.90",0.010753516
1-Oct-03,"1,038.73",0.018922153
1-Sep-03,"1,019.44",0.030226471
1-Aug-03,989.53,-0.003032623
1-Jul-03,992.54,0.004595142
1-Jun-03,988,0.055600667
1-May-03,935.96,0.051605002
1-Apr-03,890.03,0.051262063
1-Mar-03,846.63,0.011469123
1-Feb-03,837.03,-0.065647884
1-Jan-03,895.84,-0.003714495
1-Dec-02,899.18,-0.011814096
1-Nov-02,909.93,0.064706364
1-Oct-02,854.63,-0.015187656
1-Sep-02,867.81,-0.049027451
1-Aug-02,912.55,0.009916002
1-Jul-02,903.59,-0.108903177
1-Jun-02,"1,014.02",-0.06044012
1-May-02,"1,079.25",-0.029390339
1-Apr-02,"1,111.93",-0.036280432
1-Mar-02,"1,153.79",0.048261513
1-Feb-02,"1,100.67",-0.034677823
1-Jan-02,"1,140.21",-0.004122523
1-Dec-01,"1,144.93",0.013499398
1-Nov-01,"1,129.68",0.049313109
1-Oct-01,"1,076.59",0.030584699
1-Sep-01,"1,044.64",-0.113585066
1-Aug-01,"1,178.50",-0.021545104
1-Jul-01,"1,204.45",-0.027657805
1-Jun-01,"1,238.71",-0.024921873
1-May-01,"1,270.37",0.067681369
1-Apr-01,"1,189.84",0.003364675
1-Mar-01,"1,185.85",-0.091824622
1-Feb-01,"1,305.75",-0.022371465
1-Jan-01,"1,335.63",0.003531365
1-Dec-00,"1,330.93",-0.034186236
1-Nov-00,"1,378.04",-0.008704159
1-Oct-00,"1,390.14",-0.0530704
1-Sep-00,"1,468.05",-0.011720275
1-Aug-00,"1,485.46",0.008458927
1-Jul-00,"1,473.00",0.007551506
1-Jun-00,"1,461.96",0.030652529
1-May-00,"1,418.48",-0.02934253
1-Apr-00,"1,461.36",0.013278233
1-Mar-00,"1,442.21",0.038405322
1-Feb-00,"1,388.87",-0.025757756
1-Jan-00,"1,425.59",-0.002162836
1-Dec-99,"1,428.68",0.027088426
1-Nov-99,"1,391.00",0.069991769
1-Oct-99,"1,300.01",-0.013776675
1-Sep-99,"1,318.17",-0.007020769
1-Aug-99,"1,327.49",-0.038740324
1-Jul-99,"1,380.99",0.044187365
1-Jun-99,"1,322.55",-0.007146772
1-May-99,"1,332.07",-0.002015344
1-Apr-99,"1,334.76",0.041430645
1-Mar-99,"1,281.66",0.028140994
1-Feb-99,"1,246.58",-0.001753726
1-Jan-99,"1,248.77",0.049342465
1-Dec-98,"1,190.05",0.039862639
1-Nov-98,"1,144.43",0.108438986
1-Oct-98,"1,032.47",0.011590767
1-Sep-98,"1,020.64",-0.05023171
1-Aug-98,"1,074.62",-0.070864099
1-Jul-98,"1,156.58",0.043477476
1-Jun-98,"1,108.39",-2.70656E-05
1-May-98,"1,108.42",-0.003398669
1-Apr-98,"1,112.20",0.03284641
1-Mar-98,"1,076.83",0.05185887
1-Feb-98,"1,023.74",0.062676466
1-Jan-98,963.36,0.00102871
1-Dec-97,962.37,0.024975504
